;mess_datum;stations_id;r1;longitude;latitude
75837;2017-07-11 20:00:00;2110;0.0;6.1042;51.0411
75838;2017-07-11 21:00:00;2110;0.0;6.1042;51.0411
75839;2017-07-11 22:00:00;2110;0.0;6.1042;51.0411
75840;2017-07-11 23:00:00;2110;0.3;6.1042;51.0411
75841;2017-07-12 00:00:00;2110;0.0;6.1042;51.0411
75842;2017-07-12 01:00:00;2110;0.0;6.1042;51.0411
75843;2017-07-12 02:00:00;2110;0.4;6.1042;51.0411
75844;2017-07-12 03:00:00;2110;0.9;6.1042;51.0411
75845;2017-07-12 04:00:00;2110;3.1;6.1042;51.0411
75846;2017-07-12 05:00:00;2110;1.5;6.1042;51.0411
75847;2017-07-12 06:00:00;2110;0.7;6.1042;51.0411
75848;2017-07-12 07:00:00;2110;0.3;6.1042;51.0411
75849;2017-07-12 08:00:00;2110;2.4;6.1042;51.0411
75850;2017-07-12 09:00:00;2110;0.4;6.1042;51.0411
75851;2017-07-12 10:00:00;2110;0.1;6.1042;51.0411
75852;2017-07-12 11:00:00;2110;2.2;6.1042;51.0411
75853;2017-07-12 12:00:00;2110;0.6;6.1042;51.0411
75854;2017-07-12 13:00:00;2110;0.8;6.1042;51.0411
75855;2017-07-12 14:00:00;2110;0.0;6.1042;51.0411
75856;2017-07-12 15:00:00;2110;0.0;6.1042;51.0411
75857;2017-07-12 16:00:00;2110;0.0;6.1042;51.0411
75858;2017-07-12 17:00:00;2110;0.0;6.1042;51.0411
75859;2017-07-12 18:00:00;2110;0.0;6.1042;51.0411
75860;2017-07-12 19:00:00;2110;0.0;6.1042;51.0411
75861;2017-07-12 20:00:00;2110;0.0;6.1042;51.0411
75862;2017-07-12 21:00:00;2110;0.0;6.1042;51.0411
75863;2017-07-12 22:00:00;2110;0.0;6.1042;51.0411
75864;2017-07-12 23:00:00;2110;0.0;6.1042;51.0411
75865;2017-07-13 00:00:00;2110;0.0;6.1042;51.0411
75866;2017-07-13 01:00:00;2110;0.0;6.1042;51.0411
75867;2017-07-13 02:00:00;2110;0.0;6.1042;51.0411
75868;2017-07-13 03:00:00;2110;0.0;6.1042;51.0411
75869;2017-07-13 04:00:00;2110;0.0;6.1042;51.0411
75870;2017-07-13 05:00:00;2110;0.0;6.1042;51.0411
75871;2017-07-13 06:00:00;2110;0.0;6.1042;51.0411
75872;2017-07-13 07:00:00;2110;0.0;6.1042;51.0411
75873;2017-07-13 08:00:00;2110;0.0;6.1042;51.0411
75874;2017-07-13 09:00:00;2110;0.0;6.1042;51.0411
75875;2017-07-13 10:00:00;2110;0.0;6.1042;51.0411
75876;2017-07-13 11:00:00;2110;0.0;6.1042;51.0411
75877;2017-07-13 12:00:00;2110;0.0;6.1042;51.0411
75878;2017-07-13 13:00:00;2110;0.0;6.1042;51.0411
75879;2017-07-13 14:00:00;2110;0.0;6.1042;51.0411
75880;2017-07-13 15:00:00;2110;0.0;6.1042;51.0411
75881;2017-07-13 16:00:00;2110;0.0;6.1042;51.0411
75882;2017-07-13 17:00:00;2110;0.0;6.1042;51.0411
75883;2017-07-13 18:00:00;2110;0.0;6.1042;51.0411
75884;2017-07-13 19:00:00;2110;0.0;6.1042;51.0411
75885;2017-07-13 20:00:00;2110;0.0;6.1042;51.0411
75886;2017-07-13 21:00:00;2110;0.0;6.1042;51.0411
75887;2017-07-13 22:00:00;2110;0.0;6.1042;51.0411
75888;2017-07-13 23:00:00;2110;0.0;6.1042;51.0411
75889;2017-07-14 00:00:00;2110;0.0;6.1042;51.0411
75890;2017-07-14 01:00:00;2110;0.0;6.1042;51.0411
75891;2017-07-14 02:00:00;2110;0.0;6.1042;51.0411
75892;2017-07-14 03:00:00;2110;0.0;6.1042;51.0411
75893;2017-07-14 04:00:00;2110;0.0;6.1042;51.0411
75894;2017-07-14 05:00:00;2110;0.0;6.1042;51.0411
75895;2017-07-14 06:00:00;2110;0.0;6.1042;51.0411
75896;2017-07-14 07:00:00;2110;0.0;6.1042;51.0411
75897;2017-07-14 08:00:00;2110;0.0;6.1042;51.0411
75898;2017-07-14 09:00:00;2110;0.0;6.1042;51.0411
75899;2017-07-14 10:00:00;2110;0.0;6.1042;51.0411
75900;2017-07-14 11:00:00;2110;0.0;6.1042;51.0411
75901;2017-07-14 12:00:00;2110;0.0;6.1042;51.0411
75902;2017-07-14 13:00:00;2110;0.0;6.1042;51.0411
75903;2017-07-14 14:00:00;2110;2.1;6.1042;51.0411
75904;2017-07-14 15:00:00;2110;0.1;6.1042;51.0411
75905;2017-07-14 16:00:00;2110;0.9;6.1042;51.0411
75906;2017-07-14 17:00:00;2110;0.2;6.1042;51.0411
75907;2017-07-14 18:00:00;2110;0.0;6.1042;51.0411
75908;2017-07-14 19:00:00;2110;0.0;6.1042;51.0411
75909;2017-07-14 20:00:00;2110;0.0;6.1042;51.0411
75910;2017-07-14 21:00:00;2110;0.0;6.1042;51.0411
75911;2017-07-14 22:00:00;2110;0.0;6.1042;51.0411
75912;2017-07-14 23:00:00;2110;0.0;6.1042;51.0411
75913;2017-07-15 00:00:00;2110;0.0;6.1042;51.0411
75914;2017-07-15 01:00:00;2110;0.0;6.1042;51.0411
75915;2017-07-15 02:00:00;2110;0.0;6.1042;51.0411
75916;2017-07-15 03:00:00;2110;0.0;6.1042;51.0411
75917;2017-07-15 04:00:00;2110;0.0;6.1042;51.0411
75918;2017-07-15 05:00:00;2110;0.0;6.1042;51.0411
75919;2017-07-15 06:00:00;2110;0.0;6.1042;51.0411
75920;2017-07-15 07:00:00;2110;0.0;6.1042;51.0411
75921;2017-07-15 08:00:00;2110;0.0;6.1042;51.0411
75922;2017-07-15 09:00:00;2110;0.0;6.1042;51.0411
75923;2017-07-15 10:00:00;2110;0.0;6.1042;51.0411
75924;2017-07-15 11:00:00;2110;0.0;6.1042;51.0411
75925;2017-07-15 12:00:00;2110;0.0;6.1042;51.0411
75926;2017-07-15 13:00:00;2110;0.0;6.1042;51.0411
75927;2017-07-15 14:00:00;2110;0.0;6.1042;51.0411
75928;2017-07-15 15:00:00;2110;0.0;6.1042;51.0411
75929;2017-07-15 16:00:00;2110;0.0;6.1042;51.0411
75930;2017-07-15 17:00:00;2110;0.0;6.1042;51.0411
75931;2017-07-15 18:00:00;2110;0.0;6.1042;51.0411
75932;2017-07-15 19:00:00;2110;0.0;6.1042;51.0411
75933;2017-07-15 20:00:00;2110;0.0;6.1042;51.0411
75934;2017-07-15 21:00:00;2110;0.0;6.1042;51.0411
75935;2017-07-15 22:00:00;2110;0.0;6.1042;51.0411
75936;2017-07-15 23:00:00;2110;0.0;6.1042;51.0411
75937;2017-07-16 00:00:00;2110;0.0;6.1042;51.0411
75938;2017-07-16 01:00:00;2110;0.0;6.1042;51.0411
75939;2017-07-16 02:00:00;2110;0.0;6.1042;51.0411
75940;2017-07-16 03:00:00;2110;0.0;6.1042;51.0411
75941;2017-07-16 04:00:00;2110;0.0;6.1042;51.0411
75942;2017-07-16 05:00:00;2110;0.0;6.1042;51.0411
75943;2017-07-16 06:00:00;2110;0.0;6.1042;51.0411
75944;2017-07-16 07:00:00;2110;0.0;6.1042;51.0411
75945;2017-07-16 08:00:00;2110;0.0;6.1042;51.0411
75946;2017-07-16 09:00:00;2110;0.0;6.1042;51.0411
75947;2017-07-16 10:00:00;2110;0.0;6.1042;51.0411
75948;2017-07-16 11:00:00;2110;0.0;6.1042;51.0411
75949;2017-07-16 12:00:00;2110;0.0;6.1042;51.0411
75950;2017-07-16 13:00:00;2110;0.0;6.1042;51.0411
75951;2017-07-16 14:00:00;2110;0.0;6.1042;51.0411
75952;2017-07-16 15:00:00;2110;0.0;6.1042;51.0411
75953;2017-07-16 16:00:00;2110;0.0;6.1042;51.0411
75954;2017-07-16 17:00:00;2110;0.0;6.1042;51.0411
75955;2017-07-16 18:00:00;2110;0.0;6.1042;51.0411
75956;2017-07-16 19:00:00;2110;0.0;6.1042;51.0411
75957;2017-07-16 20:00:00;2110;0.0;6.1042;51.0411
75958;2017-07-16 21:00:00;2110;0.0;6.1042;51.0411
75959;2017-07-16 22:00:00;2110;0.0;6.1042;51.0411
75960;2017-07-16 23:00:00;2110;0.0;6.1042;51.0411
78171;2017-06-16 01:00:00;2254;0.0;7.6449;52.2396
78172;2017-06-16 02:00:00;2254;0.0;7.6449;52.2396
78173;2017-06-16 03:00:00;2254;0.0;7.6449;52.2396
78174;2017-06-16 04:00:00;2254;0.0;7.6449;52.2396
78175;2017-06-16 05:00:00;2254;0.0;7.6449;52.2396
78176;2017-06-16 06:00:00;2254;0.0;7.6449;52.2396
78177;2017-06-16 07:00:00;2254;0.0;7.6449;52.2396
78178;2017-06-16 08:00:00;2254;0.0;7.6449;52.2396
78179;2017-06-16 09:00:00;2254;0.0;7.6449;52.2396
78180;2017-06-16 10:00:00;2254;0.0;7.6449;52.2396
78181;2017-06-16 11:00:00;2254;0.0;7.6449;52.2396
78182;2017-06-16 12:00:00;2254;0.0;7.6449;52.2396
